id,created,text,lat,long,category
708864459112972000,3/13/2016 3:57,"06:56 @KenyaRedCross bad accident on Waiyaki Way near Nairobi School, please send help. via @KijanaMkenya",-1.262821,36.764784,accident
708856154093281000,3/13/2016 3:24,06:23 ma3route there is an accident along msa road @Gm. Kuna msee amegogwa na ma3 ya 14seater. He is having serious injuries via @johni_baha,-1.180448,36.939088,accident
708801752045256000,3/12/2016 23:48,"02:47 Accident, Langata road. Pedestrian killed. @  https://t.co/DPVKkJJdf3 via @tycoontraffic",-1.249806,36.846795,accident
708773649432469000,3/12/2016 21:56,00:55 are people blowing on KIAMBU ROAD? via @Skamwati,0,0,NONE
708763204910854000,3/12/2016 21:14,00:14 someone knocked down and died on the spot at Langata road next to rafikis club...a life lost tonight via @1_samba,0,0,NONE
708761359224188000,3/12/2016 21:07,00:07 accident at the Junction towards Carnivore. Motorists speedi~more ⇢ https://t.co/AcdFObQl2h https://t.co/6zd5nwh2SX via @CalebManywele,-1.298857,36.762126,accident
708758968919674000,3/12/2016 20:58,23:57 @IkeOjuok The inhuman acts by police are just a projection of the barely human big shot r~more ⇢ https://t.co/iJPp1UZZo0 via @tiusteng,0,0,NONE
708753892972974000,3/12/2016 20:37,23:37 SHARE and remind a family member or a friend  https://t.co/Zocuh2gguz via @MombasaCGW,0,0,NONE
708748481968508000,3/12/2016 20:16,23:15 FYA  https://t.co/zf57m5lq2P via @IkeOjuok,0,0,NONE
708748356592410000,3/12/2016 20:15,23:15 The wreckage of the #SubuigaAccident  https://t.co/lPjO7ZuhW7 via @Ndeshmo,-1.249806,36.846795,accident
708746971847086000,3/12/2016 20:10,23:09 @NPSOfficial_KE When you see in Nairobi CBD police officers beating up a tout &amp; tell t~more ⇢ https://t.co/pT0VIOOaoW via @BoniMuthoni,0,0,NONE
708745965763571000,3/12/2016 20:06,"23:05 Woiiiiii this Dohny roundabout will finish us. On a Saturday night, its still chaos!!!!! via @B4Neemaaisha",-1.2919615,36.8415906,NONE
708743534644342000,3/12/2016 19:56,"22:56 KAS 845S Mathree....Respect The Lights please ,along Kenyatta avenue via @SamMacoha",0,0,NONE
708741226120351000,3/12/2016 19:47,22:47 Wen guy tries 2 b romantic &amp; go to passanger side to open the door &amp; u be like ' sija~more ⇢ https://t.co/WXA8G3NRb8 via @MainaKahuthu,0,0,NONE
708740765141196000,3/12/2016 19:45,22:45 what outering road looks like  https://t.co/oXOcGNKta1 via @KaminoiK,0,0,NONE
708740554360692000,3/12/2016 19:44,22:44 2220hrs: Police are still engaging innocent youths in running bat~more ⇢ https://t.co/F6Svs3BH7T https://t.co/jmyVs1yk0F via @IkeOjuok,0,0,NONE
708738625190539000,3/12/2016 19:37,22:36 jam on jogoo road and outering road is a mess.... via @KaminoiK,0,0,traffic
708738374174007000,3/12/2016 19:36,22:35 jam on jogoo road and offering road is a mess... via @KaminoiK,0,0,traffic
708731830187393000,3/12/2016 19:10,22:09 what on earth is happening at the railways roundabout? We are Not moving via @faith_nzisa,-1.2919615,36.8415906,NONE
708730194383667000,3/12/2016 19:03,22:03 Dear @ntsa_kenya Haile selassie is a parking spot. via @DeejayKamjo,0,0,NONE
708729775569788000,3/12/2016 19:02,"22:01 Mukuru residents in running battles with police,South B and roads closed the situation ~more ⇢ https://t.co/gPIcECQGHb via @ekkathenya",-1.180448,36.939088,NONE
708727091659821000,3/12/2016 18:51,21:50 @crimewatch008 @Maina_Kenneth what is the update about south B? via @rmobisa,0,0,NONE
708726923841527000,3/12/2016 18:50,21:50 traffic 🚥 ingine along Jogoo Road to Doonholm. via @bizzwizzie,0,0,NONE
708726880363356000,3/12/2016 18:50,"21:50 #KCA931 Rembo Shuttle would rather hit another vehicle to get passengers first. A reminder, our lives matter via @Mawathe",-1.252148,36.859953,NONE
708726335649132000,3/12/2016 18:48,21:47 #KCA931 Rembo Shuttle those games you play with peoples lives are detrimental to your health. via @Mawathe,-1.252148,36.859953,NONE
708725999869890000,3/12/2016 18:47,21:46 whats going on Muthurwa next to Country bus from town? Traffic can't go through. via @bizzwizzie,-1.285913,36.833338,NONE
708725371185664000,3/12/2016 18:44,21:44 It'll be Sunny tomorrow in Nairobi! With a high of 29Â°C and a low of 14Â°C. #Lindsay via @DrWambua,0,0,NONE
